,file_name,iteration,actual_theta(degrees),calculated_theta(degrees),average_distance,original_num_features,rotated_num_features,num_good_matches,detector_type,elapsed_time(s),successful_merge,distance_from_feature_after_merge,noise,scale,scale_recovered
0,2RobotsFull_R1_res0.05.pgm,0,0,-0.00020313368979867183,776.9575,492,1394,400,sift,16.45554828643799,True,0.3053891062736511,0.01,1,0.999996174405044
1,2RobotsFull_R1_res0.05.pgm,1,0,0.00207062089800817,861.8300970873786,492,1387,412,sift,15.079408407211304,True,0.40835973620414734,0.01,1,0.9999903377954311
2,2RobotsFull_R1_res0.05.pgm,2,0,0.0017439282802675497,903.5995024875622,492,1392,402,sift,14.785146951675415,True,0.6171528697013855,0.01,1,1.0000202534281584
3,2RobotsFull_R1_res0.05.pgm,3,0,-0.007786117673698145,817.5657568238213,492,1384,403,sift,17.736281633377075,False,5.578909397125244,0.01,1,0.9999540142418208
4,2RobotsFull_R1_res0.05.pgm,4,0,-0.006417082795087273,764.4024691358024,492,1345,405,sift,18.87392830848694,False,4.034988880157471,0.01,1,1.0001408879575493
5,2RobotsFull_R1_res0.05.pgm,0,0,-0.008591672487515339,1313.4285714285713,492,5472,420,sift,20.37537169456482,False,258.99200439453125,0.02,1,0.9999292273111193
6,2RobotsFull_R1_res0.05.pgm,1,0,0.00019831900040433203,1363.7668997668998,492,5401,429,sift,17.245445013046265,False,270.1583557128906,0.02,1,0.9999814884189174
7,2RobotsFull_R1_res0.05.pgm,2,0,0.004396234014691218,1387.4731934731935,492,5375,429,sift,17.913007497787476,False,356.595458984375,0.02,1,1.0000282008710848
8,2RobotsFull_R1_res0.05.pgm,3,0,-0.005303069187006922,1401.4137115839244,492,5479,423,sift,16.469932317733765,False,275.8580017089844,0.02,1,0.9999493015892889
9,2RobotsFull_R1_res0.05.pgm,4,0,-0.0015229130851681625,1297.6413301662708,492,5465,421,sift,15.5377836227417,False,295.1314392089844,0.02,1,0.9999483171374294
10,2RobotsFull_R1_res0.05.pgm,0,0,-0.0037999326361920806,1580.3140877598153,492,14321,433,sift,15.967161655426025,False,460.34088134765625,0.03,1,0.9998841129845372
11,2RobotsFull_R1_res0.05.pgm,1,0,0.003595244906727445,1599.795918367347,492,14748,441,sift,16.92827582359314,False,459.3523254394531,0.03,1,1.0001792750361584
12,2RobotsFull_R1_res0.05.pgm,2,0,0.007720966984571753,1671.3682983682984,492,14520,429,sift,16.346864461898804,False,605.3871459960938,0.03,1,0.9998485168925791
13,2RobotsFull_R1_res0.05.pgm,3,0,-0.004273153004362214,1648.8220140515223,492,14699,427,sift,15.940140724182129,False,411.068115234375,0.03,1,0.9999964502778763
14,2RobotsFull_R1_res0.05.pgm,4,0,-0.004488105287817322,1547.041570438799,492,14580,433,sift,15.94998288154602,False,446.6109924316406,0.03,1,0.9999593793635883
15,2RobotsFull_R1_res0.05.pgm,0,0,-0.000698175790595793,1780.1547085201794,492,28698,446,sift,17.052648305892944,False,545.9901123046875,0.04,1,0.9998614056742001
16,2RobotsFull_R1_res0.05.pgm,1,0,-0.005919438456716411,1781.3566591422123,492,28624,443,sift,16.885476112365723,False,516.7203979492188,0.04,1,1.0000843319956012
17,2RobotsFull_R1_res0.05.pgm,2,0,-0.010292936721001907,1765.3447488584475,492,28606,438,sift,16.803776741027832,False,556.723876953125,0.04,1,1.000094358559708
18,2RobotsFull_R1_res0.05.pgm,3,0,-0.004368916429117002,1803.2969837587007,492,28389,431,sift,16.83730936050415,False,549.084716796875,0.04,1,0.9998329012312864
19,2RobotsFull_R1_res0.05.pgm,4,0,0.03133779046221818,1740.5240274599541,492,28510,437,sift,17.04673719406128,False,546.36328125,0.04,1,0.9995870232432152
20,2RobotsFull_R2_res0.05.pgm,0,0,0.00613408184268862,684.0394431554524,528,1345,431,sift,15.105013370513916,True,0.8734077215194702,0.01,1,0.9999321837144513
21,2RobotsFull_R2_res0.05.pgm,1,0,-0.0017833042137581248,685.7452830188679,528,1308,424,sift,15.031348943710327,True,0.6177870035171509,0.01,1,0.9999955551422155
22,2RobotsFull_R2_res0.05.pgm,2,0,-0.004611069782379144,676.995238095238,528,1295,420,sift,15.026875257492065,False,2.697226047515869,0.01,1,0.9999404295826735
23,2RobotsFull_R2_res0.05.pgm,3,0,0.002656010080357562,682.9828850855746,528,1234,409,sift,18.23198366165161,True,0.604581892490387,0.01,1,0.9999614662535515
24,2RobotsFull_R2_res0.05.pgm,4,0,-0.006938027303171988,747.0586854460093,528,1356,426,sift,14.799903631210327,False,48.156612396240234,0.01,1,0.9999339498225027
25,2RobotsFull_R2_res0.05.pgm,0,0,0.004934024108932919,1081.7162790697676,528,5365,430,sift,15.35653305053711,False,251.28382873535156,0.02,1,0.9999769050393846
26,2RobotsFull_R2_res0.05.pgm,1,0,-0.01109032798611732,1108.6997690531177,528,5248,433,sift,15.266369342803955,False,295.6861572265625,0.02,1,0.9999523508296834
27,2RobotsFull_R2_res0.05.pgm,2,0,-0.005573537991490125,1129.560975609756,528,5116,410,sift,15.332517862319946,False,255.15789794921875,0.02,1,0.999890429525469
28,2RobotsFull_R2_res0.05.pgm,3,0,0.0028880530642982597,1083.232613908873,528,5234,417,sift,16.375569343566895,False,245.27330017089844,0.02,1,0.9999968229533892
29,2RobotsFull_R2_res0.05.pgm,4,0,-0.0018165391983516737,1169.065060240964,528,5375,415,sift,15.603206634521484,False,303.0237121582031,0.02,1,0.999847298996696
30,2RobotsFull_R2_res0.05.pgm,0,0,-0.0038864633206893207,1354.6951219512196,528,14470,410,sift,15.922729730606079,False,406.0975646972656,0.03,1,1.000169389177144
31,2RobotsFull_R2_res0.05.pgm,1,0,0.004373875678814668,1392.162162162162,528,14039,407,sift,15.90654444694519,False,324.4086608886719,0.03,1,0.9999702875776909
32,2RobotsFull_R2_res0.05.pgm,2,0,-0.0015543105497692522,1370.3813953488373,528,14061,430,sift,16.0436429977417,False,381.68505859375,0.03,1,0.999852406269033
33,2RobotsFull_R2_res0.05.pgm,3,0,-0.01127010750361389,1335.1995249406175,528,14463,421,sift,15.97970175743103,False,375.1861877441406,0.03,1,0.9998598426532341
34,2RobotsFull_R2_res0.05.pgm,4,0,-0.007904140769442297,1397.9697674418605,528,14797,430,sift,16.138794422149658,False,445.239501953125,0.03,1,1.0002472694358084
35,2RobotsFull_R2_res0.05.pgm,0,0,0.0063303908134285216,1495.0381861575179,528,28726,419,sift,16.918792963027954,False,412.93145751953125,0.04,1,1.0001921648325989
36,2RobotsFull_R2_res0.05.pgm,1,0,0.010582533148253987,1517.7139423076924,528,28249,416,sift,16.9036283493042,False,445.0419616699219,0.04,1,0.999724481032234
37,2RobotsFull_R2_res0.05.pgm,2,0,-0.014504020725223304,1534.0348837209303,528,28336,430,sift,16.930356740951538,False,428.63189697265625,0.04,1,1.000122511297325
38,2RobotsFull_R2_res0.05.pgm,3,0,0.01614904310551306,1524.5775656324583,528,28721,419,sift,17.07218098640442,False,488.54486083984375,0.04,1,0.9999838881426486
39,2RobotsFull_R2_res0.05.pgm,4,0,0.001693409895077138,1590.823113207547,528,28222,424,sift,16.97885298728943,False,469.18829345703125,0.04,1,1.0001517460268203
40,MiniOverlap_R1_res0.05.pgm,0,0,0.0029942964106868366,787.9367681498829,505,1029,427,sift,6.694323301315308,True,0.3224802017211914,0.01,1,1.0000910195134962
