,file_name,iteration,actual_theta(degrees),calculated_theta(degrees),average_distance,original_num_features,rotated_num_features,num_good_matches,detector_type,elapsed_time(s),successful_merge,distance_from_feature_after_merge,x_recovered,y_recovered,x_delta_origin,y_delta_origin
0,2RobotsFull_R1_res0.05.pgm,0,0,1.5071798260364405e-16,0.0,492,492,492,sift,6.697857618331909,True,0.0,1.2838213941490802e-13,9.818170107090329e-14,0,0
1,2RobotsFull_R1_res0.05.pgm,1,0,1.5071798260364405e-16,0.0,492,492,492,sift,6.12414288520813,True,0.0,1.2838213941490802e-13,9.818170107090329e-14,0,0
2,2RobotsFull_R1_res0.05.pgm,2,0,1.5071798260364405e-16,0.0,492,492,492,sift,6.225236177444458,True,0.0,1.2838213941490802e-13,9.818170107090329e-14,0,0
3,2RobotsFull_R1_res0.05.pgm,3,0,1.5071798260364405e-16,0.0,492,492,492,sift,6.675262689590454,True,0.0,1.2838213941490802e-13,9.818170107090329e-14,0,0
4,2RobotsFull_R1_res0.05.pgm,4,0,1.5071798260364405e-16,0.0,492,492,492,sift,6.938588619232178,True,0.0,1.2838213941490802e-13,9.818170107090329e-14,0,0
5,2RobotsFull_R1_res0.05.pgm,0,0,-0.0007807929170040266,12.132505175983438,492,490,483,sift,6.705284595489502,True,0.0,100.0677094102228,100.00658695384047,100,100
6,2RobotsFull_R1_res0.05.pgm,1,0,-0.0007807929170040266,12.132505175983438,492,490,483,sift,6.365158796310425,True,0.0,100.0677094102228,100.00658695384047,100,100
7,2RobotsFull_R1_res0.05.pgm,2,0,-0.0007807929170040266,12.132505175983438,492,490,483,sift,6.3030924797058105,True,0.0,100.0677094102228,100.00658695384047,100,100
8,2RobotsFull_R1_res0.05.pgm,3,0,-0.0007807929170040266,12.132505175983438,492,490,483,sift,6.3279502391815186,True,0.0,100.0677094102228,100.00658695384047,100,100
9,2RobotsFull_R1_res0.05.pgm,4,0,-0.0007807929170040266,12.132505175983438,492,490,483,sift,9.330930471420288,True,0.0,100.0677094102228,100.00658695384047,100,100
10,2RobotsFull_R1_res0.05.pgm,0,0,-7.048483577499344e-05,3.4057377049180326,492,491,488,sift,7.3680620193481445,True,0.0,200.01099262849493,199.9981360621713,200,200
11,2RobotsFull_R1_res0.05.pgm,1,0,-7.048483577499344e-05,3.4057377049180326,492,491,488,sift,6.414103269577026,True,0.0,200.01099262849493,199.9981360621713,200,200
12,2RobotsFull_R1_res0.05.pgm,2,0,-7.048483577499344e-05,3.4057377049180326,492,491,488,sift,6.375202894210815,True,0.0,200.01099262849493,199.9981360621713,200,200
