,file_name,iteration,actual_theta(degrees),calculated_theta(degrees),average_distance,original_num_features,rotated_num_features,num_good_matches,detector_type,elapsed_time(s),successful_merge,distance_from_feature_after_merge,scale,scale_recovered
0,2RobotsFull_R1_res0.05.pgm,0,0,-0.00702424154860121,760.0350877192982,492,62,57,sift,1.7112822532653809,False,62.64486312866211,0.2,0.1998413277895614
1,2RobotsFull_R1_res0.05.pgm,1,0,-0.00702424154860121,760.0350877192982,492,62,57,sift,1.751338005065918,False,62.64486312866211,0.2,0.1998413277895614
2,2RobotsFull_R1_res0.05.pgm,2,0,-0.00702424154860121,760.0350877192982,492,62,57,sift,1.7175188064575195,False,62.64486312866211,0.2,0.1998413277895614
3,2RobotsFull_R1_res0.05.pgm,3,0,-0.00702424154860121,760.0350877192982,492,62,57,sift,1.6571881771087646,False,62.64486312866211,0.2,0.1998413277895614
4,2RobotsFull_R1_res0.05.pgm,4,0,-0.00702424154860121,760.0350877192982,492,62,57,sift,1.8051695823669434,False,62.64486312866211,0.2,0.1998413277895614
5,2RobotsFull_R1_res0.05.pgm,0,0,-0.04275697012105003,747.2916666666666,492,118,96,sift,2.5109095573425293,False,73.45136260986328,0.4,0.3997585635282728
6,2RobotsFull_R1_res0.05.pgm,1,0,-0.04275697012105003,747.2916666666666,492,118,96,sift,2.3603222370147705,False,73.45136260986328,0.4,0.3997585635282728
7,2RobotsFull_R1_res0.05.pgm,2,0,-0.04275697012105003,747.2916666666666,492,118,96,sift,2.300668716430664,False,73.45136260986328,0.4,0.3997585635282728
8,2RobotsFull_R1_res0.05.pgm,3,0,-0.04275697012105003,747.2916666666666,492,118,96,sift,2.399702787399292,False,73.45136260986328,0.4,0.3997585635282728
9,2RobotsFull_R1_res0.05.pgm,4,0,-0.04275697012105003,747.2916666666666,492,118,96,sift,2.441831588745117,False,73.45136260986328,0.4,0.3997585635282728
10,2RobotsFull_R1_res0.05.pgm,0,0,-0.02948632009434185,695.9763779527559,492,148,127,sift,3.368490695953369,True,0.5100104212760925,0.6,0.599686451050454
11,2RobotsFull_R1_res0.05.pgm,1,0,-0.02948632009434185,695.9763779527559,492,148,127,sift,3.328923463821411,True,0.5100104212760925,0.6,0.599686451050454
12,2RobotsFull_R1_res0.05.pgm,2,0,-0.02948632009434185,695.9763779527559,492,148,127,sift,3.312465190887451,True,0.5100104212760925,0.6,0.599686451050454
13,2RobotsFull_R1_res0.05.pgm,3,0,-0.02948632009434185,695.9763779527559,492,148,127,sift,4.026530027389526,True,0.5100104212760925,0.6,0.599686451050454
14,2RobotsFull_R1_res0.05.pgm,4,0,-0.02948632009434185,695.9763779527559,492,148,127,sift,3.3719987869262695,True,0.5100104212760925,0.6,0.599686451050454
15,2RobotsFull_R1_res0.05.pgm,0,0,-0.005637023709406754,653.2735042735043,492,310,234,sift,5.075487852096558,True,0.14442285895347595,0.8,0.7997318971921573
16,2RobotsFull_R1_res0.05.pgm,1,0,-0.005637023709406754,653.2735042735043,492,310,234,sift,5.9358437061309814,True,0.14442285895347595,0.8,0.7997318971921573
17,2RobotsFull_R1_res0.05.pgm,2,0,-0.005637023709406754,653.2735042735043,492,310,234,sift,5.070695400238037,True,0.14442285895347595,0.8,0.7997318971921573
18,2RobotsFull_R1_res0.05.pgm,3,0,-0.005637023709406754,653.2735042735043,492,310,234,sift,4.974344253540039,True,0.14442285895347595,0.8,0.7997318971921573
19,2RobotsFull_R1_res0.05.pgm,4,0,-0.005637023709406754,653.2735042735043,492,310,234,sift,4.9357545375823975,True,0.14442285895347595,0.8,0.7997318971921573
20,2RobotsFull_R2_res0.05.pgm,0,0,-0.0026248153187758893,520.2083333333334,528,62,48,sift,1.8445508480072021,False,56.02935791015625,0.2,0.199813537304123
21,2RobotsFull_R2_res0.05.pgm,1,0,-0.0026248153187758893,520.2083333333334,528,62,48,sift,1.8470594882965088,False,56.02935791015625,0.2,0.199813537304123
