,file_name,iteration,actual_theta(degrees),calculated_theta(degrees),average_distance,original_num_features,rotated_num_features,num_good_matches,detector_type,elapsed_time(s)
0,2RobotsFull_R1_res0.05.pgm,0,0,-1.2779711977639116e-13,0.0,492,492,492,sift,3.1844053268432617
1,2RobotsFull_R1_res0.05.pgm,1,0,-1.2779711977639116e-13,0.0,492,492,492,sift,3.395461320877075
2,2RobotsFull_R1_res0.05.pgm,2,0,-1.2779711977639116e-13,0.0,492,492,492,sift,4.135622262954712
3,2RobotsFull_R1_res0.05.pgm,3,0,-1.2779711977639116e-13,0.0,492,492,492,sift,3.5812771320343018
4,2RobotsFull_R1_res0.05.pgm,4,0,-1.2779711977639116e-13,0.0,492,492,492,sift,4.5637218952178955
5,2RobotsFull_R1_res0.05.pgm,5,0,-1.2779711977639116e-13,0.0,492,492,492,sift,3.7470345497131348
6,2RobotsFull_R1_res0.05.pgm,6,0,-1.2779711977639116e-13,0.0,492,492,492,sift,3.816089630126953
7,2RobotsFull_R1_res0.05.pgm,7,0,-1.2779711977639116e-13,0.0,492,492,492,sift,3.8673620223999023
8,2RobotsFull_R1_res0.05.pgm,8,0,-1.2779711977639116e-13,0.0,492,492,492,sift,3.6356217861175537
9,2RobotsFull_R1_res0.05.pgm,9,0,-1.2779711977639116e-13,0.0,492,492,492,sift,3.6223056316375732
10,2RobotsFull_R1_res0.05.pgm,10,0,-1.2779711977639116e-13,0.0,492,492,492,sift,3.8788373470306396
11,2RobotsFull_R1_res0.05.pgm,0,15,14.982307743428052,557.2857142857143,492,547,364,sift,3.6872880458831787
12,2RobotsFull_R1_res0.05.pgm,1,15,14.982307743428052,557.2857142857143,492,547,364,sift,3.6617939472198486
13,2RobotsFull_R1_res0.05.pgm,2,15,14.982307743428052,557.2857142857143,492,547,364,sift,3.506195068359375
14,2RobotsFull_R1_res0.05.pgm,3,15,14.982307743428052,557.2857142857143,492,547,364,sift,3.19002628326416
15,2RobotsFull_R1_res0.05.pgm,4,15,14.982307743428052,557.2857142857143,492,547,364,sift,3.4115538597106934
16,2RobotsFull_R1_res0.05.pgm,5,15,14.982307743428052,557.2857142857143,492,547,364,sift,3.8828155994415283
17,2RobotsFull_R1_res0.05.pgm,6,15,14.982307743428052,557.2857142857143,492,547,364,sift,4.005593776702881
