,FileNames,ransacReprojThreshold,combinations,calculated_theta(degrees),average_distance,original_num_features,rotated_num_features,num_good_matches,detector_type,elapsed_time(s),successful_merge,distance_from_feature_after_merge,percentage_outliers,calculated_scale
235,2RobotsFull_R2_res0.05.pgm_Block_R2_res0.05.pgm,8,11,34.967235038099176,1403.579207920792,528,325,202,sift,7.281587839126587,False,435.9058837890625,0.0,0.9992482226647358
236,2RobotsFull_R2_res0.05.pgm_SouthWing_res0.05.pgm,8,12,109.3266984445233,1409.675799086758,528,366,219,sift,4.984202146530151,False,463.11749267578125,0.0,0.7697147791233819
237,MiniOverlap_R1_res0.05.pgm_MiniOverlap_R2_res0.05.pgm,8,13,-160.58188753434058,1505.3764258555134,505,539,263,sift,3.2842397689819336,False,530.4452514648438,0.546448087431694,0.7092017000251987
238,MiniOverlap_R1_res0.05.pgm_FuulPath_res0.05.pgm,8,14,1.5157989530857656,1331.4716981132076,505,530,265,sift,3.3570268154144287,False,480.34210205078125,0.0,1.0008270314341086
239,MiniOverlap_R1_res0.05.pgm_Block_R1_res0.05.pgm,8,15,14.224505368370616,1277.700680272109,505,256,147,sift,3.2273762226104736,False,301.71539306640625,4.635761589403973,1.001502858073357
240,MiniOverlap_R1_res0.05.pgm_Block_R2_res0.05.pgm,8,16,-0.5944162257648333,1402.5625,505,325,208,sift,6.1515114307403564,False,341.1033935546875,0.9259259259259258,0.9982601834254956
241,MiniOverlap_R1_res0.05.pgm_SouthWing_res0.05.pgm,8,17,129.27748160269863,1529.5625,505,366,208,sift,3.2060182094573975,False,419.0733642578125,0.0,0.3567373713261974
242,MiniOverlap_R2_res0.05.pgm_FuulPath_res0.05.pgm,8,18,-2.173257897401071,1426.238683127572,539,530,243,sift,3.362968683242798,False,536.4639282226562,0.0,0.9979983287241082
243,MiniOverlap_R2_res0.05.pgm_Block_R1_res0.05.pgm,8,19,160.32924229905956,1233.8137931034482,539,256,145,sift,3.2183921337127686,False,397.3018798828125,0.0,0.14892996306382858
244,MiniOverlap_R2_res0.05.pgm_Block_R2_res0.05.pgm,8,20,1.824302024968486,1486.9842105263158,539,325,190,sift,6.28271222114563,False,128.45301818847656,25.0,0.004102072331048223
245,MiniOverlap_R2_res0.05.pgm_SouthWing_res0.05.pgm,8,21,-179.17739086092917,1492.6359223300972,539,366,206,sift,4.518468141555786,False,505.0928039550781,0.0,1.2867618009821422
246,FuulPath_res0.05.pgm_Block_R1_res0.05.pgm,8,22,12.910732348437007,1252.5833333333333,530,256,156,sift,3.3559913635253906,False,415.2803039550781,0.0,0.991666911374619
247,FuulPath_res0.05.pgm_Block_R2_res0.05.pgm,8,23,-2.2190459030281353,1418.010101010101,530,325,198,sift,6.174543619155884,False,550.8751831054688,1.0050251256281406,1.0005695103852084
248,FuulPath_res0.05.pgm_SouthWing_res0.05.pgm,8,24,80.74667467369049,1487.663594470046,530,366,217,sift,3.1954708099365234,False,380.13482666015625,0.0,0.11734351967639037
249,Block_R1_res0.05.pgm_Block_R2_res0.05.pgm,8,25,-15.36543075248962,1507.0555555555557,256,325,162,sift,6.07277512550354,False,394.4608154296875,0.5813953488372093,0.9973305607220129
